system cmrfLogZLB cmrfLogZUB k*discrete k*minimized k*pw-minimized
2XGY 36.33663234780055 93.37252614749207 -Infinity 45.62628902929568 46.195927313597224
2XXM 45.964875707443156 90.5070431605027 -Infinity 67.62554908726531 69.0376654933508
2WZP 38.4409348311478 66.44306241884678 -Infinity 54.88919521725718 55.874690507222006
3CAL 36.09130231721058 82.3102406881123 28.1940145463747 36.181672122068264 36.849013801023055
2Q1E 40.740161662414806 70.29007441439707 -Infinity 52.91293908675072 53.700366185919805
2RF9 36.76682013288576 61.710717156640136 -Infinity 37.91315661732753 38.4654720808735
1A0R 31.431432231429326 50.92154423839191 12.925667840283424 33.21832539660967 34.02189187391911
2RFE 33.168547260023644 66.12114258261965 -Infinity 41.16085853067999 42.26373072736832
2HNV 29.316320256989368 65.32620642434465 18.224869594573256 20.67823604139553 21.335678502356565
2RFD 42.0567889517808 70.13254013239005 -Infinity 54.29207877211666 55.64438934693908
2HNU 34.96211530771417 55.60968455829037 40.57340543296453 48.533352554557034 49.20485223692822
1AMU 39.50702566029301 80.7893997572843 25.972045389667183 43.67713225403408 44.80922966010855
2RL0 35.379350216879864 59.66600955637229 23.522052800868824 37.507356550731906 38.39346990699512
3MA2 30.78919113592991 64.0114581508134 5.532066094810552 33.93791389229952 34.96773513178388
1GWC 31.332708750033774 58.72300646228021 27.774473169118743 48.651278013998144 49.45347123372294
1B74 36.263697572444556 74.18048689926817 46.94242973430697 54.58946926734612 55.78275203071663
4LAJ 38.839474994480426 76.2126423152331 22.132451812729002 46.76360766445369 48.10934226963797
3U7Y 35.531563200815526 60.3074605902647 11.825276783081259 24.546949623822048 27.22411851110638
2XQQ 33.89990032690635 49.12144918193476 27.744746603433512 31.815438273573758 32.63675861913936
3RJQ 34.9755291325384 71.20431867155898 25.95612519104043 25.77167565355071 33.169292274879936
3BUA 30.007877257299462 67.93804936733726 28.928375366184778 33.12936759572298 33.58056006063942
1B6C 28.79984253761925 57.29160457074527 -Infinity 33.62297001131021 33.98253354005845
3GXU 34.380330962291715 82.02765616970653 -Infinity 50.1300441422876 50.70312794944884
3BU8 23.044736526208187 50.13857978375226 12.07990446766672 21.674089192155883 22.592132326020117
3K3Q 32.040856665027164 76.65797355576342 -Infinity 39.58254059715664 39.90174158299032
2P49 53.67702490937627 69.9662740651556 -Infinity 64.05242458814206 65.23487145856271
2Q2A 32.06030195208705 65.7973861502807 -2.2059373938135285 41.65967855602457 42.066586796470695
2P4A 34.91584732128134 56.743787764635215 37.63254839335946 41.58400311764561 42.48045251328099
3EB6 33.39392247443683 82.3195816158685 33.98135190882963 46.268133153906106 46.80968089618707
1TP5 55.03661931920247 73.71417261508051 31.563196208715187 69.8917381122277 72.97854570046273
